<html><head><title>MySQL Plugin log</title><style>table {border: 1px solid black; border-collapse: collapse; line-height: 23px; table-layout: fixed; width: 863px;}th, td {border: 1px solid black; word-wrap: break-word;}thead {background-color: #C0C0C0;}		tbody {text-align: center;}		table.left1 {position: relative; left: 36px;}		table.left2 {position: relative; left: 72px;}		.time {width: 80px;}		.func {width: 200px;}		.stat {width: 75px;}		.msg {width: 400px;}	</style>	<script>		var 			LOG_ERROR = 1,			LOG_WARNING = 2,			LOG_DEBUG = 4;				var			FirstRun = true,			IsCallbackActive = false,			IsTableOpen = false,			IsThreadActive = false;				function StartCB(cbname) {			StartTable(1, 0, cbname);		}		function EndCB() {			EndTable();			IsCallbackActive = false;		}		function StartTable(iscallback, isthreaded, cbname) {			if(IsTableOpen == true || isthreaded != IsThreadActive)				EndTable();						if(iscallback == true) {				document.write(					"<table class=left2>" +						"<th bgcolor=#C0C0C0 >In callback \""+cbname+"\"</th>" +					"</table>"				);			}						document.write("<table");			if(iscallback == true || (isthreaded != IsThreadActive && isthreaded == false && IsCallbackActive == true) ) {				document.write(" class=left2");				IsCallbackActive = true;			}			else if(isthreaded == true) 				document.write(" class=left1");						IsThreadActive = isthreaded;			document.write(">");						if(FirstRun == true) {				FirstRun = false;				document.write("<thead><th class=time>Time</th><th class=func>Function</th><th class=stat>Status</th><th class=msg>Message</th></thead>");			}			document.write("<tbody>");			IsTableOpen = true;		}				function EndTable() {			document.write("</tbody></table>");			IsTableOpen = false;		}						function Log(time, func, status, msg, isthreaded) {			isthreaded = typeof isthreaded !== 'undefined' ? isthreaded : 0;			if(IsTableOpen == false || isthreaded != IsThreadActive)				StartTable(false, isthreaded, "");			var StatColor, StatText;			switch(status) {			case LOG_ERROR:				StatColor = "RED";				StatText = "ERROR";				break;			case LOG_WARNING:				StatColor = "#FF9900";				StatText = "WARNING";				break;			case LOG_DEBUG:				StatColor = "#00DD00";				StatText = "OK";				break;			}			document.write(				"<tr bgcolor="+StatColor+">" + 					"<td class=time>"+time+"</td>" + 					"<td class=func>"+func+"</td>" + 					"<td class=stat>"+StatText+"</td>" + 					"<td class=msg>"+msg+"</td>" + 				"</tr>"			);		}	</script></head><body bgcolor=grey>	<h2>Logging started at 20:20, 17.05.2017</h2><script>
StartCB("LoadVehicles");Log("20:20:21","CMySQLQuery::Execute[LoadAtms]",1,"(error #1146) Table 'droomrpg.atms' doesn't exist",1);
EndCB();Log("20:21:40","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:21:40","cache_get_row_count",2,"no active cache",0);
Log("20:21:40","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:21:40","cache_get_row_count",2,"no active cache",0);
Log("20:21:40","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:21:40","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:21:48","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:21:48","cache_get_row_count",2,"no active cache",0);
Log("20:21:48","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:21:56","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:21:56","cache_get_row_count",2,"no active cache",0);
Log("20:21:56","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:35:02","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:35:02","cache_get_row_count",2,"no active cache",0);
Log("20:35:02","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:35:02","cache_get_row_count",2,"no active cache",0);
Log("20:35:02","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:35:02","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:35:05","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:35:05","cache_get_row_count",2,"no active cache",0);
Log("20:35:05","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:35:05","cache_get_row_count",2,"no active cache",0);
Log("20:35:05","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:35:05","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:35:09","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:35:09","cache_get_row_count",2,"no active cache",0);
Log("20:35:09","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:35:12","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:35:12","cache_get_row_count",2,"no active cache",0);
Log("20:35:12","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:35:17","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:35:17","cache_get_row_count",2,"no active cache",0);
Log("20:35:17","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:35:19","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:35:19","cache_get_row_count",2,"no active cache",0);
Log("20:35:19","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:39:11","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:39:11","cache_get_row_count",2,"no active cache",0);
Log("20:39:11","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:39:11","cache_get_row_count",2,"no active cache",0);
Log("20:39:11","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:39:11","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:39:16","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:39:16","cache_get_row_count",2,"no active cache",0);
Log("20:39:16","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:40:02","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:40:02","cache_get_row_count",2,"no active cache",0);
Log("20:40:02","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:40:02","cache_get_row_count",2,"no active cache",0);
Log("20:40:02","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:40:02","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:40:08","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:40:08","cache_get_row_count",2,"no active cache",0);
Log("20:40:08","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:40:20","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("20:40:20","cache_get_row_count",2,"no active cache",0);
Log("20:40:20","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:40:44","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("20:40:44","cache_get_row_count",2,"no active cache",0);
Log("20:40:44","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("20:50:55","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("20:50:55","cache_get_row_count",2,"no active cache",0);
Log("20:50:55","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("21:01:07","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("21:01:07","cache_get_row_count",2,"no active cache",0);
Log("21:01:07","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("21:05:54","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("21:05:54","cache_get_row_count",2,"no active cache",0);
Log("21:05:54","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("21:05:54","cache_get_row_count",2,"no active cache",0);
Log("21:05:54","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("21:05:54","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("21:06:00","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("21:06:00","cache_get_row_count",2,"no active cache",0);
Log("21:06:00","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("21:06:19","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("21:06:19","cache_get_row_count",2,"no active cache",0);
Log("21:06:19","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("21:20:15","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("21:20:15","cache_get_row_count",2,"no active cache",0);
Log("21:20:15","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
